,,,,,,,,,,,,,,,,
,"The following list contatins all the characters that are included into Hanyu Shuiping Kaoshi 3.0 (post-2021), a total of 3000 characters, divided into nine blocks by band and in the order of decreasing                 frequency within each of them. The additional and missing information was gathered on HanziDB, Wikidictionary, as well as filled by hand.",,,,,,,,,,,,,,,
,№,HSK 3.0,Freq.,General standard #,Radical,Encounters,Fraction of   the language,HSK 2.0,Stroke count,Character,,,,Meaning,,Goal
,Band 1,,,,,,,,,,,,,,,
,1,1,1,1155,白 106.3,7922684,"4,094325%",1,8,的,de,de,neutral,"possessive, adjectival suffix",,的
,2,1,2,0001,一 1.0,3050722,"1,576568%",1,1,一,yī,yi,first,"one; a, an; alone",,一
,3,1,3,1479,日 72.5,2615490,"1,351646%",1,9,是,shì,shi,fourth,"indeed, yes, right; to be; demonstrative pronoun, this, that",,是
,4,1,4,0091,一 1.3,2237915,"1,156521%",1,4,不,bù,bu,fourth,"no, not; un-; negative prefix",,不
,5,1,5,0017,亅 6.1,2128528,"1,099992%",1,2,了,le,le,neutral,to finish; particle of completed action,,了
,6,1,6,0388,土 32.3,2009181,"1,038315%",1,6,在,zài,zai,fourth,"be at, in, on; consist in, rest",,在
,7,1,7,0010,人 9.0,1867999,"0,965354%",1,2,人,rén,ren,second,man; people; mankind; someone else,,人
,8,1,8,0390,月 74.2,1782004,"0,920913%",1,6,有,yǒu,you,third,"have, own, possess; exist",,有
,9,1,9,0761,戈 62.3,1690048,"0,873392%",1,7,我,wǒ,wo,third,"our, us, i, me, my, we",,我
,10,1,10,0277,人 9.3,1595761,"0,824666%",1,5,他,tā,ta,first,"other, another; he, she, it",,他
,11,1,11,0837,辵 162.4,1552042,"0,802072%",1,7,这,zhè,zhe,fourth,"this, the, here",,这
,12,1,12,0045,丨 2.2,1199580,"0,619925%",1,3,个,gè,ge,fourth,"numerary adjunct, piece; single",,个
,13,1,13,0273,人 9.3,1169853,"0,604563%",1,5,们,men,men,neutral,adjunct pronoun indicate plural,,们
,14,1,14,0113,丨 2.3,1104541,"0,570810%",1,4,中,zhōng,zhong,first,"central; center, middle; in the midst of; hit (target); attain",,中
,15,1,15,0707,木 75.3,1079469,"0,557854%",1,7,来,lái,lai,second,"come, coming; return, returning",,来
,16,1,16,0036,一 1.2,1069575,"0,552740%",1,3,上,shàng,shang,fourth,"top; superior, highest; go up, send up",,上
,17,1,17,0032,大 37.0,1054064,"0,544725%",1,3,大,dà,da,fourth,"big, great, vast, large, high",,大
,18,1,19,1131,口 30.5,1010465,"0,522193%",1,8,和,hé,he,second,"harmony, peace; peaceful, calm",,为
,19,1,20,1081,囗 31.5,985350,"0,509214%",1,8,国,guó,guo,second,"nation, country, nation-state",,和
,20,1,21,0366,土 32.3,969349,"0,500945%",3,6,地,de,de,neutral,"earth; soil, ground; region",,国
,21,1,22,1063,刀 18.6,965035,"0,498716%",2,8,到,dào,dao,fourth,"go to, arrive, been to",,地
,22,1,24,1717,言 149.7,874977,"0,452175%",1,9,说,shuō,shuo,first,"speak, say, talk; scold, upbraid",,到
,23,1,25,0717,日 72.3,833532,"0,430757%",1,7,时,shí,shi,second,"time, season; era, age, period",,以
,24,1,26,1441,襾 146.3,811011,"0,419118%",2,9,要,yào,yao,fourth,"necessary, essential; necessity",,说
,25,1,27,2728,尢 43.9,771108,"0,398497%",2,12,就,jiù,jiu,fourth,"just, simply; to come, go to; to approach, near",,时
,26,1,28,0330,凵 17.3,755256,"0,390305%",1,5,出,chū,chu,first,"go out, send out; stand; produce",,要
,27,1,29,0486,人 9.4,734888,"0,379779%",1,6,会,huì,hui,fourth,"assemble, meet together; meeting",,就
,28,1,31,0066,乙 5.2,710259,"0,367051%",2,3,也,yě,ye,third,also; classical final particle of strong affirmation or identity,,出
,29,1,32,0782,人 9.5,705205,"0,364439%",1,7,你,nǐ,ni,third,"you, second person pronoun",,会
,30,1,33,0341,寸 41.2,703632,"0,363627%",1,5,对,duì,dui,fourth,"correct, right; facing, opposed",,可
,31,1,34,0263,生 100.0,682031,"0,352463%",1,5,生,shēng,sheng,first,"life, living, lifetime; birth",,也
,32,1,35,2146,肉 130.6,665358,"0,343847%",1,10,能,néng,neng,second,"to be able; can, permitted to; ability",,你
,33,1,37,0064,子 39.0,640640,"0,331073%",1,3,子,zi,zi,neutral,"offspring, child; fruit, seed of; 1st terrestrial branch",,对
,34,1,38,0564,邑 163.4,638538,"0,329987%",1,6,那,nà,na,fourth,"that, that one, those",,生
,35,1,39,2341,彳 60.8,630688,"0,325930%",2,11,得,dé,de,second,"obtain, get, gain, acquire",,能
,36,1,41,2398,目 109.6,626326,"0,323676%",2,11,着,zhe,zhe,neutral,"make move, take action",,而
,37,1,42,0030,一 1.2,621185,"0,321019%",1,3,下,xià,xia,fourth,"under, underneath, below; down; inferior; bring down",,子
,38,1,45,0444,干 51.3,601887,"0,311046%",1,6,年,nián,nian,second,year,,那
,39,1,46,0379,辵 162.3,589925,"0,304864%",2,6,过,guò,guo,fourth,"pass, pass through, go across",,得
,40,1,48,0482,口 30.3,570764,"0,294962%",1,6,后,hòu,hou,fourth,"queen, empress, sovereign; (simp. for後) behind, rear, after",,于
,41,1,49,0777,人 9.5,542791,"0,280506%",1,7,作,zuò,zuo,fourth,"make; work; compose, write; act, perform",,着
,42,1,50,0721,里 166.0,537795,"0,277924%",1,7,里,lǐ,li,third,unit of distance; village; lane,,下
,43,1,51,0283,用 101.0,535480,"0,276728%",3,5,用,yòng,yong,fourth,"use, employ, apply, operate; use",,自
